,NewLat,NewLon,Time Seg,0.0,1.0,2.0,3.0,4.0,5.0,6.0,Analysis Neighborhood
103,37.71,-122.435,Morning,4.0,4.0,0.0,1.0,3.0,0.0,1.0,Excelsior
104,37.71,-122.435,Night,0.0,3.0,1.0,0.0,1.0,0.0,0.0,Excelsior
105,37.71,-122.4325,Afternoon,4.0,7.0,3.0,2.0,4.0,0.0,1.0,Excelsior
106,37.71,-122.4325,Evening,1.0,6.0,0.0,0.0,3.0,0.0,2.0,Excelsior
107,37.71,-122.4325,Morning,3.0,9.0,3.0,3.0,1.0,0.0,0.0,Excelsior
108,37.71,-122.4325,Night,0.0,5.0,0.0,0.0,0.0,0.0,1.0,Excelsior
109,37.71,-122.43,Afternoon,1.0,0.0,1.0,0.0,1.0,0.0,1.0,Excelsior
110,37.71,-122.43,Evening,2.0,12.0,0.0,6.0,0.0,0.0,0.0,Excelsior
111,37.71,-122.43,Morning,2.0,1.0,0.0,0.0,0.0,0.0,0.0,Excelsior
112,37.71,-122.43,Night,0.0,1.0,0.0,0.0,1.0,0.0,0.0,Excelsior
113,37.71,-122.42750000000001,Afternoon,1.0,0.0,0.0,1.0,0.0,0.0,0.0,Excelsior
114,37.71,-122.42750000000001,Evening,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Excelsior
115,37.71,-122.42750000000001,Morning,0.0,1.0,0.0,0.0,0.0,0.0,1.0,Excelsior
116,37.71,-122.425,Afternoon,6.0,6.0,7.0,2.0,3.0,0.0,6.0,Excelsior
117,37.71,-122.425,Evening,5.0,8.0,2.0,3.0,1.0,0.0,3.0,Excelsior
118,37.71,-122.425,Morning,2.0,5.0,7.0,2.0,6.0,0.0,3.0,Excelsior
119,37.71,-122.425,Night,1.0,2.0,1.0,0.0,0.0,0.0,1.0,Excelsior
120,37.71,-122.4225,Afternoon,5.0,13.0,7.0,11.0,14.0,0.0,3.0,Visitacion Valley
121,37.71,-122.4225,Evening,8.0,17.0,2.0,4.0,8.0,0.0,2.0,Visitacion Valley
122,37.71,-122.4225,Morning,5.0,10.0,3.0,5.0,7.0,1.0,3.0,Visitacion Valley
123,37.71,-122.4225,Night,2.0,6.0,3.0,1.0,2.0,0.0,1.0,Visitacion Valley
124,37.71,-122.42,Afternoon,30.0,28.0,7.0,21.0,23.0,1.0,24.0,Visitacion Valley
125,37.71,-122.42,Evening,9.0,19.0,4.0,11.0,10.0,0.0,5.0,Visitacion Valley
126,37.71,-122.42,Morning,16.0,18.0,3.0,11.0,15.0,0.0,21.0,Visitacion Valley
127,37.71,-122.42,Night,1.0,7.0,3.0,4.0,6.0,0.0,1.0,Visitacion Valley
128,37.71,-122.4175,Afternoon,5.0,18.0,4.0,8.0,7.0,0.0,2.0,Visitacion Valley
129,37.71,-122.4175,Evening,4.0,17.0,1.0,2.0,5.0,1.0,3.0,Visitacion Valley
130,37.71,-122.4175,Morning,8.0,5.0,1.0,1.0,2.0,0.0,2.0,Visitacion Valley
131,37.71,-122.4175,Night,3.0,0.0,0.0,1.0,3.0,1.0,1.0,Visitacion Valley
132,37.71,-122.415,Afternoon,5.0,16.0,6.0,4.0,7.0,0.0,3.0,Visitacion Valley
133,37.71,-122.415,Evening,6.0,4.0,4.0,1.0,7.0,0.0,3.0,Visitacion Valley
134,37.71,-122.415,Morning,6.0,11.0,2.0,4.0,4.0,0.0,2.0,Visitacion Valley
135,37.71,-122.415,Night,4.0,3.0,2.0,0.0,2.0,0.0,1.0,Visitacion Valley
136,37.71,-122.41250000000001,Afternoon,20.0,20.0,8.0,13.0,13.0,0.0,11.0,Visitacion Valley
137,37.71,-122.41250000000001,Evening,6.0,20.0,6.0,11.0,6.0,0.0,6.0,Visitacion Valley
138,37.71,-122.41250000000001,Morning,19.0,16.0,10.0,2.0,9.0,1.0,9.0,Visitacion Valley
139,37.71,-122.41250000000001,Night,5.0,0.0,4.0,6.0,0.0,0.0,3.0,Visitacion Valley
140,37.71,-122.41,Afternoon,1.0,6.0,5.0,3.0,2.0,0.0,0.0,Visitacion Valley
141,37.71,-122.41,Evening,0.0,4.0,1.0,0.0,0.0,0.0,0.0,Visitacion Valley
142,37.71,-122.41,Morning,6.0,7.0,1.0,2.0,1.0,0.0,0.0,Visitacion Valley
143,37.71,-122.41,Night,1.0,2.0,0.0,1.0,0.0,0.0,0.0,Visitacion Valley
144,37.71,-122.4075,Afternoon,5.0,13.0,1.0,2.0,1.0,0.0,4.0,Visitacion Valley
145,37.71,-122.4075,Evening,0.0,8.0,3.0,0.0,2.0,0.0,2.0,Visitacion Valley
146,37.71,-122.4075,Morning,1.0,11.0,0.0,1.0,3.0,0.0,4.0,Visitacion Valley
147,37.71,-122.4075,Night,0.0,4.0,0.0,2.0,0.0,0.0,0.0,Visitacion Valley
148,37.71,-122.405,Afternoon,11.0,23.0,4.0,7.0,9.0,0.0,14.0,Visitacion Valley
149,37.71,-122.405,Evening,4.0,16.0,4.0,5.0,4.0,0.0,5.0,Visitacion Valley
150,37.71,-122.405,Morning,11.0,15.0,3.0,14.0,9.0,0.0,21.0,Visitacion Valley
151,37.71,-122.405,Night,2.0,15.0,0.0,2.0,6.0,0.0,3.0,Visitacion Valley
152,37.71,-122.4025,Afternoon,6.0,7.0,4.0,2.0,3.0,0.0,1.0,Bayview Hunters Point
153,37.71,-122.4025,Evening,2.0,4.0,0.0,0.0,0.0,0.0,0.0,Bayview Hunters Point
154,37.71,-122.4025,Morning,1.0,5.0,4.0,4.0,2.0,0.0,4.0,Bayview Hunters Point
155,37.71,-122.4025,Night,0.0,4.0,0.0,0.0,1.0,0.0,0.0,Bayview Hunters Point
156,37.71,-122.4,Afternoon,2.0,3.0,3.0,1.0,2.0,0.0,8.0,Bayview Hunters Point
157,37.71,-122.4,Evening,0.0,5.0,2.0,4.0,2.0,0.0,1.0,Bayview Hunters Point
158,37.71,-122.4,Morning,4.0,4.0,6.0,3.0,3.0,0.0,4.0,Bayview Hunters Point
159,37.71,-122.4,Night,3.0,0.0,0.0,6.0,0.0,0.0,0.0,Bayview Hunters Point
160,37.71,-122.39750000000001,Afternoon,3.0,6.0,0.0,2.0,4.0,0.0,5.0,Bayview Hunters Point
161,37.71,-122.39750000000001,Evening,1.0,10.0,4.0,1.0,4.0,0.0,1.0,Bayview Hunters Point
162,37.71,-122.39750000000001,Morning,0.0,6.0,3.0,1.0,3.0,0.0,6.0,Bayview Hunters Point
163,37.71,-122.39750000000001,Night,1.0,1.0,3.0,2.0,3.0,0.0,0.0,Bayview Hunters Point
164,37.71,-122.395,Afternoon,1.0,14.0,3.0,1.0,1.0,0.0,2.0,Bayview Hunters Point
165,37.71,-122.395,Evening,7.0,10.0,2.0,2.0,3.0,0.0,4.0,Bayview Hunters Point
166,37.71,-122.395,Morning,0.0,8.0,3.0,2.0,2.0,0.0,5.0,Bayview Hunters Point
167,37.71,-122.395,Night,0.0,2.0,0.0,0.0,4.0,0.0,0.0,Bayview Hunters Point
